Year,Population,Chronic Disease Patient Count,Mortality Rate Count,Recovery / Management Count,Pollution Level,Health Index,Education Index,Average Income Level,Average BMI,Healthcare Access Rate,"Average Smokers (per 100,000)","Average Alcohol Consumers (per 100,000)"
1947,5950578,59505,297,1190,24.6,87.58,34.23,7790,22.92,59.2,4080,3460
1948,6039837,60398,301,1207,24.7,87.31,34.235,8023,22.94,59.4,4060,3470
1949,6130434,61304,306,1226,24.8,87.03999999999999,34.24,8264,22.96,59.6,4040,3480
1950,6222391,62223,311,1244,24.9,86.77,34.245,8512,22.98,59.8,4020,3490
1951,6315727,63157,315,1263,25.0,86.5,34.25,8767,23.0,60.0,4000,3500
1952,6410463,64104,320,1282,25.1,86.23,34.255,9030,23.02,60.2,3980,3510
1953,6506620,65066,325,1301,25.2,85.96,34.26,9301,23.04,60.4,3960,3520
1954,6604219,66042,330,1320,25.3,85.69,34.265,9580,23.06,60.6,3940,3530
1955,6703282,67032,335,1340,25.4,85.42,34.27,9868,23.08,60.8,3920,3540
1956,6803831,68038,340,1360,25.5,85.15,34.275,10164,23.1,61.0,3900,3550
1957,6905889,69058,345,1381,25.6,84.88,34.28,10469,23.12,61.2,3880,3560
1958,7009477,70094,350,1401,25.7,84.61,34.285,10783,23.14,61.4,3860,3570
1959,7114619,71146,355,1422,25.8,84.34,34.29,11106,23.16,61.6,3840,3580
1960,7221339,72213,361,1444,25.9,84.07,34.295,11440,23.18,61.8,3820,3590
1961,7329659,73296,366,1465,26.0,83.8,34.3,11783,23.2,62.0,3800,3600
1962,7439604,74396,371,1487,26.1,83.53,34.305,12136,23.22,62.2,3780,3610
1963,7551198,75511,377,1510,26.2,83.25999999999999,34.31,12500,23.24,62.4,3760,3620
1964,7664466,76644,383,1532,26.3,82.99,34.315,12875,23.26,62.6,3740,3630
1965,7779433,77794,388,1555,26.4,82.72,34.32,13262,23.28,62.8,3720,3640
1966,7896124,78961,394,1579,26.5,82.45,34.325,13659,23.3,63.0,3700,3650
1967,8014566,80145,400,1602,26.6,82.18,34.33,14069,23.32,63.2,3680,3660
1968,8134785,81347,406,1626,26.7,81.91,34.335,14491,23.34,63.4,3660,3670
1969,8256806,82568,412,1651,26.8,81.64,34.34,14926,23.36,63.6,3640,3680
1970,8380658,83806,419,1676,26.9,81.37,34.345,15374,23.38,63.8,3620,3690
1971,8506368,85063,425,1701,27.0,81.1,34.35,15835,23.4,64.0,3600,3700
1972,8633964,86339,431,1726,27.1,80.83,34.355,16310,23.42,64.2,3580,3710
1973,8763473,87634,438,1752,27.2,80.56,34.36,16800,23.44,64.4,3560,3720
1974,8894925,88949,444,1778,27.3,80.28999999999999,34.365,17304,23.46,64.6,3540,3730
1975,9028349,90283,451,1805,27.4,80.02,34.37,17823,23.48,64.8,3520,3740
1976,9163775,91637,458,1832,27.5,79.75,34.375,18357,23.5,65.0,3500,3750
1977,9301231,93012,465,1860,27.6,79.47999999999999,34.38,18908,23.52,65.2,3480,3760
1978,9440750,94407,472,1888,27.7,79.21,34.385,19475,23.54,65.4,3460,3770
1979,9582361,95823,479,1916,27.8,78.94,34.39,20060,23.56,65.6,3440,3780
1980,9726096,97260,486,1945,27.9,78.67,34.395,20661,23.58,65.8,3420,3790
1981,9871988,98719,493,1974,28.0,78.4,34.4,21281,23.6,66.0,3400,3800
1982,10020068,100200,501,2004,28.1,78.13,34.405,21920,23.62,66.2,3380,3810
1983,10170369,101703,508,2034,28.200000000000003,77.86,34.41,22577,23.64,66.4,3360,3820
1984,10322924,103229,516,2064,28.3,77.59,34.415,23255,23.66,66.6,3340,3830
1985,10477768,104777,523,2095,28.4,77.32,34.42,23952,23.68,66.8,3320,3840
1986,10634935,106349,531,2126,28.5,77.05,34.425,24671,23.7,67.0,3300,3850
1987,10794459,107944,539,2158,28.6,76.78,34.43,25411,23.72,67.2,3280,3860
1988,10956376,109563,547,2191,28.700000000000003,76.50999999999999,34.435,26173,23.74,67.4,3260,3870
1989,11120721,111207,556,2224,28.8,76.24,34.44,26959,23.76,67.6,3240,3880
1990,11287532,112875,564,2257,28.9,75.97,34.445,27767,23.78,67.8,3220,3890
1991,11456845,114568,572,2291,29.0,75.7,34.45,28600,23.8,68.0,3200,3900
1992,11628698,116286,581,2325,29.1,75.43,34.455,29458,23.82,68.2,3180,3910
1993,11803128,118031,590,2360,29.200000000000003,75.16,34.46,30342,23.84,68.4,3160,3920
1994,11980175,119801,599,2396,29.3,74.89,34.465,31253,23.86,68.6,3140,3930
1995,12159878,121598,607,2431,29.4,74.62,34.47,32190,23.88,68.8,3120,3940
1996,12342276,123422,617,2468,29.5,74.35,34.475,33156,23.9,69.0,3100,3950
1997,12527410,125274,626,2505,29.6,74.08,34.48,34151,23.92,69.2,3080,3960
1998,12715321,127153,635,2543,29.700000000000003,73.81,34.485,35175,23.94,69.4,3060,3970
1999,12906051,129060,645,2581,29.8,73.53999999999999,34.49,36230,23.96,69.6,3040,3980
2000,13099642,130996,654,2619,29.9,73.27,34.495,37317,23.98,69.8,3020,3990
2001,13296136,132961,664,2659,30.0,73.0,34.5,38437,24.0,70.0,3000,4000
2002,13495579,134955,674,2699,30.1,72.72999999999999,34.505,39590,24.02,70.2,2980,4010
2003,13698012,136980,684,2739,30.200000000000003,72.46,34.51,40778,24.04,70.4,2960,4020
2004,13903482,139034,695,2780,30.3,72.19,34.515,42001,24.06,70.6,2940,4030
2005,14112035,141120,705,2822,30.4,71.92,34.52,43261,24.08,70.8,2920,4040
2006,14323715,143237,716,2864,30.5,71.65,34.525,44559,24.1,71.0,2900,4050
2007,14538571,145385,726,2907,30.6,71.38,34.53,45896,24.12,71.2,2880,4060
2008,14756649,147566,737,2951,30.700000000000003,71.11,34.535,47272,24.14,71.4,2860,4070
2009,14977999,149779,748,2995,30.8,70.84,34.54,48691,24.16,71.6,2840,4080
2010,15202669,152026,760,3040,30.9,70.57,34.545,50151,24.18,71.8,2820,4090
2011,15430709,154307,771,3086,31.0,70.3,34.55,51656,24.2,72.0,2800,4100
2012,15662170,156621,783,3132,31.1,70.03,34.555,53206,24.22,72.2,2780,4110
2013,15897102,158971,794,3179,31.200000000000003,69.75999999999999,34.56,54802,24.240000000000002,72.4,2760,4120
2014,16135559,161355,806,3227,31.3,69.49,34.565,56446,24.26,72.6,2740,4130
2015,16377592,163775,818,3275,31.4,69.22,34.57,58139,24.28,72.8,2720,4140
2016,16623256,166232,831,3324,31.5,68.95,34.575,59884,24.3,73.0,2700,4150
2017,16872605,168726,843,3374,31.6,68.68,34.58,61680,24.32,73.2,2680,4160
2018,17125694,171256,856,3425,31.700000000000003,68.41,34.585,63530,24.34,73.4,2660,4170
2019,17382580,173825,869,3476,31.8,68.14,34.59,65436,24.36,73.6,2640,4180
2020,17643318,176433,882,3528,31.9,67.87,34.595,67399,24.38,73.8,2620,4190
2021,17907968,179079,895,3581,32.0,67.6,34.6,69421,24.4,74.0,2600,4200
2022,18176588,181765,908,3635,32.1,67.33,34.605,71504,24.42,74.2,2580,4210
2023,18449236,184492,922,3689,32.2,67.06,34.61,73649,24.44,74.4,2560,4220
2024,18725975,187259,936,3745,32.3,66.78999999999999,34.615,75859,24.46,74.6,2540,4230
2025,19006865,190068,950,3801,32.4,66.52,34.62,78135,24.48,74.8,2520,4240
2026,19291968,192919,964,3858,32.5,66.25,34.625,80479,24.5,75.0,2500,4250
2027,19581347,195813,979,3916,32.6,65.97999999999999,34.63,82893,24.52,75.2,2480,4260
2028,19875067,198750,993,3975,32.7,65.71000000000001,34.635,85380,24.54,75.4,2460,4270
2029,20173193,201731,1008,4034,32.8,65.44,34.64,87941,24.56,75.6,2440,4280
2030,20475791,204757,1023,4095,32.9,65.16999999999999,34.645,90579,24.58,75.8,2420,4290
2031,20782928,207829,1039,4156,33.0,64.9,34.65,93297,24.6,76.0,2400,4300
2032,21094672,210946,1054,4218,33.1,64.63,34.655,96096,24.62,76.2,2380,4310
2033,21411092,214110,1070,4282,33.2,64.36,34.66,98979,24.64,76.4,2360,4320
2034,21732259,217322,1086,4346,33.3,64.09,34.665,101948,24.66,76.6,2340,4330
2035,22058242,220582,1102,4411,33.4,63.82,34.67,105006,24.68,76.8,2320,4340
2036,22389116,223891,1119,4477,33.5,63.55,34.675,108157,24.7,77.0,2300,4350
2037,22724953,227249,1136,4544,33.6,63.28,34.68,111401,24.72,77.2,2280,4360
2038,23065827,230658,1153,4613,33.7,63.01,34.685,114743,24.740000000000002,77.4,2260,4370
2039,23411815,234118,1170,4682,33.8,62.739999999999995,34.69,118186,24.76,77.6,2240,4380
2040,23762992,237629,1188,4752,33.9,62.47,34.695,121731,24.78,77.8,2220,4390
2041,24119437,241194,1205,4823,34.0,62.199999999999996,34.7,125383,24.8,78.0,2200,4400
2042,24481228,244812,1224,4896,34.1,61.93,34.705,129145,24.82,78.2,2180,4410
2043,24848447,248484,1242,4969,34.2,61.66,34.71,133019,24.84,78.4,2160,4420
2044,25221173,252211,1261,5044,34.3,61.39,34.715,137010,24.86,78.6,2140,4430
2045,25599491,255994,1279,5119,34.4,61.12,34.72,141120,24.88,78.8,2120,4440
2046,25983483,259834,1299,5196,34.5,60.849999999999994,34.725,145354,24.9,79.0,2100,4450
2047,26373236,263732,1318,5274,34.6,60.58,34.73,149714,24.92,79.2,2080,4460
2048,26768834,267688,1338,5353,34.7,60.309999999999995,34.735,154206,24.94,79.4,2060,4470
2049,27170367,271703,1358,5434,34.8,60.04,34.74,158832,24.96,79.6,2040,4480
2050,27577922,275779,1378,5515,34.9,59.769999999999996,34.745,163597,24.98,79.8,2020,4490
2051,27991591,279915,1399,5598,35.0,59.5,34.75,168505,25.0,80.0,2000,4500
2052,28411465,284114,1420,5682,35.1,59.23,34.755,173560,25.02,80.2,1980,4510
2053,28837637,288376,1441,5767,35.2,58.959999999999994,34.76,178767,25.04,80.4,1960,4520
2054,29270201,292702,1463,5854,35.3,58.69,34.765,184130,25.06,80.6,1940,4530
2055,29709254,297092,1485,5941,35.4,58.419999999999995,34.77,189654,25.08,80.8,1920,4540
2056,30154893,301548,1507,6030,35.5,58.15,34.775,195343,25.1,81.0,1900,4550
2057,30607217,306072,1530,6121,35.6,57.879999999999995,34.78,201204,25.12,81.2,1880,4560
2058,31066325,310663,1553,6213,35.7,57.61,34.785,207240,25.14,81.4,1860,4570
2059,31532320,315323,1576,6306,35.8,57.339999999999996,34.79,213457,25.16,81.6,1840,4580
2060,32005305,320053,1600,6401,35.9,57.07,34.795,219861,25.18,81.8,1820,4590
2061,32485384,324853,1624,6497,36.0,56.8,34.8,226457,25.2,82.0,1800,4600
2062,32972665,329726,1648,6594,36.1,56.529999999999994,34.805,233250,25.22,82.2,1780,4610
2063,33467255,334672,1673,6693,36.2,56.26,34.81,240248,25.240000000000002,82.4,1760,4620
2064,33969264,339692,1698,6793,36.3,55.989999999999995,34.815,247455,25.26,82.6,1740,4630
2065,34478803,344788,1723,6895,36.400000000000006,55.72,34.82,254879,25.28,82.80000000000001,1720,4640
2066,34995985,349959,1749,6999,36.5,55.449999999999996,34.825,262525,25.3,83.0,1700,4650
2067,35520925,355209,1776,7104,36.6,55.18,34.83,270401,25.32,83.2,1680,4660
2068,36053738,360537,1802,7210,36.7,54.91,34.835,278513,25.34,83.4,1660,4670
2069,36594545,365945,1829,7318,36.8,54.64,34.84,286869,25.36,83.6,1640,4680
2070,37143463,371434,1857,7428,36.900000000000006,54.37,34.845,295475,25.38,83.80000000000001,1620,4690
2071,37700615,377006,1885,7540,37.0,54.099999999999994,34.85,304339,25.4,84.0,1600,4700
2072,38266124,382661,1913,7653,37.1,53.83,34.855,313469,25.42,84.2,1580,4710
2073,38840116,388401,1942,7768,37.2,53.559999999999995,34.86,322873,25.44,84.4,1560,4720
2074,39422718,394227,1971,7884,37.3,53.29,34.865,332559,25.46,84.6,1540,4730
2075,40014058,400140,2000,8002,37.400000000000006,53.019999999999996,34.87,342536,25.48,84.80000000000001,1520,4740
2076,40614269,406142,2030,8122,37.5,52.75,34.875,352812,25.5,85.0,1500,4750
2077,41223483,412234,2061,8244,37.6,52.48,34.88,363397,25.52,85.2,1480,4760
2078,41841835,418418,2092,8368,37.7,52.209999999999994,34.885,374299,25.54,85.4,1460,4770
2079,42469463,424694,2123,8493,37.8,51.94,34.89,385528,25.56,85.6,1440,4780
2080,43106505,431065,2155,8621,37.900000000000006,51.669999999999995,34.895,397093,25.58,85.80000000000001,1420,4790
2081,43753103,437531,2187,8750,38.0,51.4,34.9,409006,25.6,86.0,1400,4800
2082,44409399,444093,2220,8881,38.1,51.129999999999995,34.905,421276,25.62,86.2,1380,4810
2083,45075540,450755,2253,9015,38.2,50.86,34.91,433915,25.64,86.4,1360,4820
2084,45751673,457516,2287,9150,38.3,50.589999999999996,34.915,446932,25.66,86.6,1340,4830
2085,46437948,464379,2321,9287,38.400000000000006,50.31999999999999,34.92,460340,25.68,86.80000000000001,1320,4840
2086,47134518,471345,2356,9426,38.5,50.05,34.925,474150,25.7,87.0,1300,4850
2087,47841535,478415,2392,9568,38.6,49.779999999999994,34.93,488375,25.72,87.2,1280,4860
2088,48559158,485591,2427,9711,38.7,49.51,34.935,503026,25.740000000000002,87.4,1260,4870
2089,49287546,492875,2464,9857,38.8,49.239999999999995,34.94,518117,25.76,87.6,1240,4880
2090,50026859,500268,2501,10005,38.900000000000006,48.97,34.945,533660,25.78,87.80000000000001,1220,4890
2091,50777262,507772,2538,10155,39.0,48.699999999999996,34.95,549670,25.8,88.0,1200,4900
2092,51538921,515389,2576,10307,39.1,48.43,34.955,566160,25.82,88.2,1180,4910
2093,52312005,523120,2615,10462,39.2,48.16,34.96,583145,25.84,88.4,1160,4920
2094,53096685,530966,2654,10619,39.3,47.88999999999999,34.965,600640,25.86,88.6,1140,4930
2095,53893135,538931,2694,10778,39.400000000000006,47.62,34.97,618659,25.88,88.80000000000001,1120,4940
2096,54701532,547015,2735,10940,39.5,47.349999999999994,34.975,637219,25.9,89.0,1100,4950
2097,55522055,555220,2776,11104,39.6,47.08,34.98,656335,25.92,89.2,1080,4960
2098,56354886,563548,2817,11270,39.7,46.809999999999995,34.985,676025,25.94,89.4,1060,4970
2099,57200209,572002,2860,11440,39.8,46.54,34.99,696306,25.96,89.6,1040,4980
2100,58058212,580582,2902,11611,39.900000000000006,46.269999999999996,34.995,717195,25.98,89.80000000000001,1020,4990
2101,58929085,589290,2946,11785,40.0,46.0,35.0,738711,26.0,90.0,1000,5000
